[2 0]
[0 2]
   3*alpha[0] + 2*alpha[1], 2
   7*alpha[0] + 3*alpha[1], 2
   8*alpha[0] + 5*alpha[1], 27
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 60
   5*alpha[0] + 6*alpha[1], 23
   4*alpha[0] + 4*alpha[1], 6
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 60
   8*alpha[0] + 6*alpha[1], 73
